id,examples
1,spinach,kale,lettuce
2,celery,asparagus,zucchini
3,carrots,beets,turnips
4,bell peppers,eggplant,cabbage
5,apple,banana,orange
6,beef,pork,lamb
7,chicken,turkey,duck
8,salmon,tuna,shrimp
9,egg,egg,egg
10,beans,lentils,almonds
11,bread,cake,cookies
12,rice,oats,corn
13,spaghetti,macaroni,ramen
14,potatoes,corn,yams
15,quinoa,barley,rye
16,tomato soup,stew,minestrone
17,basil,oregano,cumin
18,milk,yogurt,cheese
19,chips,nuts,pretzels
20,ice cream,cake,chocolate
21,coffee,juice,tea
22,olive oil,mayonnaise,soy sauce
